#simids	blocks	totalnodes	truenodes	prednodes	truescores	avescores	minscores	maxscores	TP	FP	TN	FN
sim200.40.1.0	200	128	127	127	36.0	46.1024737631	39.5	43	18	2	5	14
sim200.40.1.1	200	110	108	107	34.0	44.1470514743	36.0	43	14	1	15	16
sim200.40.1.2	200	124	124	124	36.0	39.0	39.0	36	21	0	2	11
sim200.40.1.3	200	123	118	116	33.0	33.2693403298	31.5	39	11	0	424	22
sim200.40.1.4	200	108	107	105	33.0	39.7074962519	32.5	42	18	2	144	7
sim200.5.1.0	200	16	16	16	4.0	4.0	4.0	4	4	0	0	0
sim200.5.1.1	200	16	16	16	4.0	4.0	4.0	4	4	0	0	0
sim200.5.1.2	200	18	18	18	5.0	5.0	5.0	5	4	0	0	0
sim200.5.1.3	200	18	18	18	5.0	5.0	5.0	5	4	0	0	0
sim200.5.1.4	200	10	10	10	3.0	3.0	3.0	3	3	0	0	0
